,Day,Date,Competition,A,B,Score A,Score B,Rank_A,Points_A,Previous_Points_A,+/-_A,Rank_B,Points_B,Previous_Points_B,+/-_B,+_A,-_A,Mean 3 +_A,Mean 3 -_A,+_B,-_B,Mean 3 +_B,Mean 3 -_B
16,Sun,1991-04-21,WWQ,Costa Rica,Jamaica,2,1,36.0,1630.0,1630.0,1.0,53.0,1449.0,1436.0,0.0,2,1,0.0,0.0,1,2,0.0,0.0
17,Sun,1991-04-21,WWQ,Canada,Haiti,2,0,5.0,2006.0,2006.0,0.0,72.0,1349.0,1349.0,1.0,2,0,0.0,0.0,0,2,0.0,0.0
18,Sun,1991-04-21,WWQ,Jamaica,Costa Rica,1,2,53.0,1449.0,1436.0,0.0,36.0,1630.0,1630.0,1.0,1,2,0.0,0.0,2,1,0.0,0.0
19,Sun,1991-04-21,WWQ,Haiti,Canada,0,2,72.0,1349.0,1349.0,1.0,5.0,2006.0,2006.0,0.0,0,2,0.0,0.0,2,0,0.0,0.0
20,Mon,1991-04-22,WWQ,Mexico,Martinique,8,1,26.0,1700.0,1698.0,1.0,0.0,0.0,0.0,0.0,8,1,0.0,0.0,0,0,0.0,0.0
21,Mon,1991-04-22,WWQ,Martinique,Mexico,1,8,0.0,0.0,0.0,0.0,26.0,1700.0,1698.0,1.0,0,0,0.0,0.0,8,1,0.0,0.0
22,Mon,1991-04-22,WWQ,United States,Trinidad and T…,10,0,1.0,2101.0,2123.0,0.0,60.0,1414.0,1414.0,-2.0,10,0,0.0,0.0,0,10,0.0,0.0
23,Mon,1991-04-22,WWQ,Trinidad and T…,United States,0,10,60.0,1414.0,1414.0,-2.0,1.0,2101.0,2123.0,0.0,0,10,0.0,0.0,10,0,0.0,0.0
24,Wed,1991-04-24,WWQ,Canada,Trinidad and T…,6,0,5.0,2006.0,2006.0,0.0,60.0,1414.0,1414.0,-2.0,6,0,5.666666666666668,0.0,0,6,1.3333333333333333,4.0
25,Wed,1991-04-24,WWQ,Trinidad and T…,Canada,0,6,60.0,1414.0,1414.0,-2.0,5.0,2006.0,2006.0,0.0,0,6,1.3333333333333333,4.0,6,0,5.666666666666668,0.0
26,Thu,1991-04-25,WWQ,United States,Haiti,10,0,1.0,2101.0,2123.0,0.0,72.0,1349.0,1349.0,1.0,10,0,11.333333333333336,0.0,0,10,1.6666666666666667,0.6666666666666666
27,Thu,1991-04-25,WWQ,Haiti,United States,0,10,72.0,1349.0,1349.0,1.0,1.0,2101.0,2123.0,0.0,0,10,1.6666666666666667,0.6666666666666666,10,0,11.333333333333336,0.0
28,Sat,1991-04-27,WWQ,Haiti,Trinidad and T…,2,4,72.0,1349.0,1349.0,1.0,60.0,1414.0,1414.0,-2.0,2,4,1.3333333333333333,4.0,4,2,1.0,5.666666666666668
29,Sat,1991-04-27,WWQ,Trinidad and T…,Haiti,4,2,60.0,1414.0,1414.0,-2.0,72.0,1349.0,1349.0,1.0,4,2,1.0,5.666666666666668,2,4,1.3333333333333333,4.0
30,Sun,1991-04-28,WWQ,Canada,United States,0,5,5.0,2006.0,2006.0,0.0,1.0,2101.0,2123.0,0.0,0,5,5.666666666666668,0.0,5,0,10.666666666666666,0.0
31,Sun,1991-04-28,WWQ,United States,Canada,5,0,1.0,2101.0,2123.0,0.0,5.0,2006.0,2006.0,0.0,5,0,10.666666666666666,0.0,0,5,5.666666666666668,0.0
32,Sat,1991-11-16,WWC,China PR,Norway,4,0,16.0,1866.0,1871.0,-1.0,12.0,1915.0,1902.0,1.0,4,0,0.0,0.0,0,4,0.0,0.0
33,Sat,1991-11-16,WWC,Norway,China PR,0,4,12.0,1915.0,1902.0,1.0,16.0,1866.0,1871.0,-1.0,0,4,0.0,0.0,4,0,0.0,0.0
34,Sun,1991-11-17,WWC,Sweden,United States,2,3,9.0,1962.0,1976.0,0.0,1.0,2101.0,2123.0,0.0,2,3,0.0,0.0,3,2,8.333333333333334,0.0
35,Sun,1991-11-17,WWC,Brazil,Japan,1,0,10.0,1944.0,1964.0,0.0,7.0,1991.0,1984.0,1.0,1,0,0.0,0.0,0,1,0.0,0.0
36,Sun,1991-11-17,WWC,Germany,Nigeria,4,0,2.0,2072.0,2057.0,0.0,38.0,1599.0,1586.0,1.0,4,0,0.0,0.0,0,4,0.0,0.0
37,Sun,1991-11-17,WWC,Japan,Brazil,0,1,7.0,1991.0,1984.0,1.0,10.0,1944.0,1964.0,0.0,0,1,0.0,0.0,1,0,0.0,0.0
38,Sun,1991-11-17,WWC,New Zealand,Denmark,0,3,19.0,1815.0,1819.0,0.0,17.0,1840.0,1842.0,0.0,0,3,0.0,0.0,3,0,0.0,0.0
39,Sun,1991-11-17,WWC,Nigeria,Germany,0,4,38.0,1599.0,1586.0,1.0,2.0,2072.0,2057.0,0.0,0,4,0.0,0.0,4,0,0.0,0.0
40,Sun,1991-11-17,WWC,Denmark,New Zealand,3,0,17.0,1840.0,1842.0,0.0,19.0,1815.0,1819.0,0.0,3,0,0.0,0.0,0,3,0.0,0.0
41,Sun,1991-11-17,WWC,Italy,Chinese Taipei,5,0,15.0,1868.0,1859.0,1.0,40.0,1574.0,1577.0,0.0,5,0,0.0,0.0,0,5,0.0,0.0
42,Sun,1991-11-17,WWC,United States,Sweden,3,2,1.0,2101.0,2123.0,0.0,9.0,1962.0,1976.0,0.0,3,2,8.333333333333334,0.0,2,3,0.0,0.0
43,Sun,1991-11-17,WWC,Chinese Taipei,Italy,0,5,40.0,1574.0,1577.0,0.0,15.0,1868.0,1859.0,1.0,0,5,0.0,0.0,5,0,0.0,0.0
44,Tue,1991-11-19,WWC,China PR,Denmark,2,2,16.0,1866.0,1871.0,-1.0,17.0,1840.0,1842.0,0.0,2,2,0.0,0.0,2,2,0.0,0.0
45,Tue,1991-11-19,WWC,Italy,Nigeria,1,0,15.0,1868.0,1859.0,1.0,38.0,1599.0,1586.0,1.0,1,0,0.0,0.0,0,1,0.0,0.0
46,Tue,1991-11-19,WWC,Sweden,Japan,8,0,9.0,1962.0,1976.0,0.0,7.0,1991.0,1984.0,1.0,8,0,0.0,0.0,0,8,0.0,0.0
47,Tue,1991-11-19,WWC,Germany,Chinese Taipei,3,0,2.0,2072.0,2057.0,0.0,40.0,1574.0,1577.0,0.0,3,0,0.0,0.0,0,3,0.0,0.0
48,Tue,1991-11-19,WWC,Chinese Taipei,Germany,0,3,40.0,1574.0,1577.0,0.0,2.0,2072.0,2057.0,0.0,0,3,0.0,0.0,3,0,0.0,0.0
49,Tue,1991-11-19,WWC,Brazil,United States,0,5,10.0,1944.0,1964.0,0.0,1.0,2101.0,2123.0,0.0,0,5,0.0,0.0,5,0,6.0,0.6666666666666666
50,Tue,1991-11-19,WWC,New Zealand,Norway,0,4,19.0,1815.0,1819.0,0.0,12.0,1915.0,1902.0,1.0,0,4,0.0,0.0,4,0,0.0,0.0
51,Tue,1991-11-19,WWC,United States,Brazil,5,0,1.0,2101.0,2123.0,0.0,10.0,1944.0,1964.0,0.0,5,0,6.0,0.6666666666666666,0,5,0.0,0.0
52,Tue,1991-11-19,WWC,Denmark,China PR,2,2,17.0,1840.0,1842.0,0.0,16.0,1866.0,1871.0,-1.0,2,2,0.0,0.0,2,2,0.0,0.0
53,Tue,1991-11-19,WWC,Nigeria,Italy,0,1,38.0,1599.0,1586.0,1.0,15.0,1868.0,1859.0,1.0,0,1,0.0,0.0,1,0,0.0,0.0
54,Tue,1991-11-19,WWC,Norway,New Zealand,4,0,12.0,1915.0,1902.0,1.0,19.0,1815.0,1819.0,0.0,4,0,0.0,0.0,0,4,0.0,0.0
55,Tue,1991-11-19,WWC,Japan,Sweden,0,8,7.0,1991.0,1984.0,1.0,9.0,1962.0,1976.0,0.0,0,8,0.0,0.0,8,0,0.0,0.0
56,Thu,1991-11-21,WWC,Japan,United States,0,3,7.0,1991.0,1984.0,1.0,1.0,2101.0,2123.0,0.0,0,3,0.0,0.0,3,0,4.333333333333333,0.6666666666666666
57,Thu,1991-11-21,WWC,United States,Japan,3,0,1.0,2101.0,2123.0,0.0,7.0,1991.0,1984.0,1.0,3,0,4.333333333333333,0.6666666666666666,0,3,0.0,0.0
58,Thu,1991-11-21,WWC,Nigeria,Chinese Taipei,0,2,38.0,1599.0,1586.0,1.0,40.0,1574.0,1577.0,0.0,0,2,0.0,0.0,2,0,0.0,0.0
59,Thu,1991-11-21,WWC,Sweden,Brazil,2,0,9.0,1962.0,1976.0,0.0,10.0,1944.0,1964.0,0.0,2,0,0.0,0.0,0,2,0.0,0.0
60,Thu,1991-11-21,WWC,Denmark,Norway,1,2,17.0,1840.0,1842.0,0.0,12.0,1915.0,1902.0,1.0,1,2,0.0,0.0,2,1,0.0,0.0
61,Thu,1991-11-21,WWC,China PR,New Zealand,4,1,16.0,1866.0,1871.0,-1.0,19.0,1815.0,1819.0,0.0,4,1,0.0,0.0,1,4,0.0,0.0
62,Thu,1991-11-21,WWC,New Zealand,China PR,1,4,19.0,1815.0,1819.0,0.0,16.0,1866.0,1871.0,-1.0,1,4,0.0,0.0,4,1,0.0,0.0
63,Thu,1991-11-21,WWC,Germany,Italy,2,0,2.0,2072.0,2057.0,0.0,15.0,1868.0,1859.0,1.0,2,0,0.0,0.0,0,2,0.0,0.0
64,Thu,1991-11-21,WWC,Brazil,Sweden,0,2,10.0,1944.0,1964.0,0.0,9.0,1962.0,1976.0,0.0,0,2,0.0,0.0,2,0,0.0,0.0
65,Thu,1991-11-21,WWC,Norway,Denmark,2,1,12.0,1915.0,1902.0,1.0,17.0,1840.0,1842.0,0.0,2,1,0.0,0.0,1,2,0.0,0.0
66,Thu,1991-11-21,WWC,Italy,Germany,0,2,15.0,1868.0,1859.0,1.0,2.0,2072.0,2057.0,0.0,0,2,0.0,0.0,2,0,0.0,0.0
67,Thu,1991-11-21,WWC,Chinese Taipei,Nigeria,2,0,40.0,1574.0,1577.0,0.0,38.0,1599.0,1586.0,1.0,2,0,0.0,0.0,0,2,0.0,0.0
68,Sun,1991-11-24,WWC,Norway,Italy,3,2,12.0,1915.0,1902.0,1.0,15.0,1868.0,1859.0,1.0,3,2,2.0,1.6666666666666667,2,3,2.0,0.6666666666666666
69,Sun,1991-11-24,WWC,United States,Chinese Taipei,7,0,1.0,2101.0,2123.0,0.0,40.0,1574.0,1577.0,0.0,7,0,3.6666666666666665,0.6666666666666666,0,7,0.6666666666666666,2.6666666666666665
70,Sun,1991-11-24,WWC,Italy,Norway,2,3,15.0,1868.0,1859.0,1.0,12.0,1915.0,1902.0,1.0,2,3,2.0,0.6666666666666666,3,2,2.0,1.6666666666666667
71,Sun,1991-11-24,WWC,Chinese Taipei,United States,0,7,40.0,1574.0,1577.0,0.0,1.0,2101.0,2123.0,0.0,0,7,0.6666666666666666,2.6666666666666665,7,0,3.6666666666666665,0.6666666666666666
72,Sun,1991-11-24,WWC,Germany,Denmark,2,1,2.0,2072.0,2057.0,0.0,17.0,1840.0,1842.0,0.0,2,1,3.0,0.0,1,2,2.0,1.3333333333333333
73,Sun,1991-11-24,WWC,Denmark,Germany,1,2,17.0,1840.0,1842.0,0.0,2.0,2072.0,2057.0,0.0,1,2,2.0,1.3333333333333333,2,1,3.0,0.0
74,Sun,1991-11-24,WWC,China PR,Sweden,0,1,16.0,1866.0,1871.0,-1.0,9.0,1962.0,1976.0,0.0,0,1,3.333333333333333,1.0,1,0,4.0,1.0
75,Sun,1991-11-24,WWC,Sweden,China PR,1,0,9.0,1962.0,1976.0,0.0,16.0,1866.0,1871.0,-1.0,1,0,4.0,1.0,0,1,3.333333333333333,1.0
76,Wed,1991-11-27,WWC,Norway,Sweden,4,1,12.0,1915.0,1902.0,1.0,9.0,1962.0,1976.0,0.0,4,1,3.0,1.0,1,4,3.6666666666666665,0.0
77,Wed,1991-11-27,WWC,Germany,United States,2,5,2.0,2072.0,2057.0,0.0,1.0,2101.0,2123.0,0.0,2,5,2.333333333333333,0.3333333333333333,5,2,5.0,0.0
78,Wed,1991-11-27,WWC,United States,Germany,5,2,1.0,2101.0,2123.0,0.0,2.0,2072.0,2057.0,0.0,5,2,5.0,0.0,2,5,2.333333333333333,0.3333333333333333
79,Wed,1991-11-27,WWC,Sweden,Norway,1,4,9.0,1962.0,1976.0,0.0,12.0,1915.0,1902.0,1.0,1,4,3.6666666666666665,0.0,4,1,3.0,1.0
80,Fri,1991-11-29,WWC,Germany,Sweden,0,4,2.0,2072.0,2057.0,0.0,9.0,1962.0,1976.0,0.0,0,4,2.0,2.0,4,0,1.3333333333333333,1.3333333333333333
81,Fri,1991-11-29,WWC,Sweden,Germany,4,0,9.0,1962.0,1976.0,0.0,2.0,2072.0,2057.0,0.0,4,0,1.3333333333333333,1.3333333333333333,0,4,2.0,2.0
82,Sat,1991-11-30,WWC,Norway,United States,1,2,12.0,1915.0,1902.0,1.0,1.0,2101.0,2123.0,0.0,1,2,3.0,1.3333333333333333,2,1,5.0,0.6666666666666666
83,Sat,1991-11-30,WWC,United States,Norway,2,1,1.0,2101.0,2123.0,0.0,12.0,1915.0,1902.0,1.0,2,1,5.0,0.6666666666666666,1,2,3.0,1.3333333333333333
84,Wed,1993-04-08,WWQ,Canada,Trinidad and T…,4,0,5.0,2006.0,2006.0,0.0,60.0,1414.0,1414.0,-2.0,4,0,2.6666666666666665,1.6666666666666667,0,4,1.3333333333333333,6.0
85,Wed,1993-04-08,WWQ,United States,New Zealand,3,0,1.0,2101.0,2123.0,0.0,19.0,1815.0,1819.0,0.0,3,0,4.666666666666667,1.0,0,3,0.3333333333333333,3.6666666666666665
86,Wed,1993-04-08,WWQ,Trinidad and T…,Canada,0,4,60.0,1414.0,1414.0,-2.0,5.0,2006.0,2006.0,0.0,0,4,1.3333333333333333,6.0,4,0,2.6666666666666665,1.6666666666666667
87,Wed,1993-04-08,WWQ,New Zealand,United States,0,3,19.0,1815.0,1819.0,0.0,1.0,2101.0,2123.0,0.0,0,3,0.3333333333333333,3.6666666666666665,3,0,4.666666666666667,1.0
88,Fri,1993-06-08,WWQ,Trinidad and T…,United States,0,9,60.0,1414.0,1414.0,-2.0,1.0,2101.0,2123.0,0.0,0,9,1.3333333333333333,4.0,9,0,3.333333333333333,1.0
89,Fri,1993-06-08,WWQ,United States,Trinidad and T…,9,0,1.0,2101.0,2123.0,0.0,60.0,1414.0,1414.0,-2.0,9,0,3.333333333333333,1.0,0,9,1.3333333333333333,4.0
90,Fri,1993-06-08,WWQ,New Zealand,Canada,0,0,19.0,1815.0,1819.0,0.0,5.0,2006.0,2006.0,0.0,0,0,0.3333333333333333,3.6666666666666665,0,0,3.333333333333333,1.6666666666666667
91,Fri,1993-06-08,WWQ,Canada,New Zealand,0,0,5.0,2006.0,2006.0,0.0,19.0,1815.0,1819.0,0.0,0,0,3.333333333333333,1.6666666666666667,0,0,0.3333333333333333,3.6666666666666665
92,Sun,1993-08-08,WWQ,Trinidad and T…,New Zealand,0,7,60.0,1414.0,1414.0,-2.0,19.0,1815.0,1819.0,0.0,0,7,1.3333333333333333,5.0,7,0,0.3333333333333333,2.333333333333333
93,Sun,1993-08-08,WWQ,New Zealand,Trinidad and T…,7,0,19.0,1815.0,1819.0,0.0,60.0,1414.0,1414.0,-2.0,7,0,0.3333333333333333,2.333333333333333,0,7,1.3333333333333333,5.0
94,Sun,1993-08-08,WWQ,United States,Canada,1,0,1.0,2101.0,2123.0,0.0,5.0,2006.0,2006.0,0.0,1,0,4.666666666666667,0.3333333333333333,0,1,1.3333333333333333,1.6666666666666667
95,Sun,1993-08-08,WWQ,Canada,United States,0,1,5.0,2006.0,2006.0,0.0,1.0,2101.0,2123.0,0.0,0,1,1.3333333333333333,1.6666666666666667,1,0,4.666666666666667,0.3333333333333333
96,Sat,1994-08-13,WWQ,Canada,Jamaica,7,0,5.0,2006.0,2006.0,0.0,53.0,1449.0,1436.0,0.0,7,0,1.3333333333333333,0.3333333333333333,0,7,0.3333333333333333,4.0
97,Sat,1994-08-13,WWQ,Mexico,United States,0,9,26.0,1700.0,1698.0,1.0,1.0,2101.0,2123.0,0.0,0,9,3.0,5.333333333333333,9,0,4.333333333333333,0.0
98,Sat,1994-08-13,WWQ,United States,Mexico,9,0,1.0,2101.0,2123.0,0.0,26.0,1700.0,1698.0,1.0,9,0,4.333333333333333,0.0,0,9,3.0,5.333333333333333
99,Sat,1994-08-13,WWQ,Jamaica,Canada,0,7,53.0,1449.0,1436.0,0.0,5.0,2006.0,2006.0,0.0,0,7,0.3333333333333333,4.0,7,0,1.3333333333333333,0.3333333333333333
100,Mon,1994-08-15,WWQ,Jamaica,Trinidad and T…,1,2,53.0,1449.0,1436.0,0.0,60.0,1414.0,1414.0,-2.0,1,2,0.3333333333333333,6.0,2,1,0.0,6.666666666666668
101,Mon,1994-08-15,WWQ,Mexico,Canada,0,6,26.0,1700.0,1698.0,1.0,5.0,2006.0,2006.0,0.0,0,6,3.0,4.333333333333333,6,0,2.333333333333333,0.3333333333333333
102,Mon,1994-08-15,WWQ,Trinidad and T…,Jamaica,2,1,60.0,1414.0,1414.0,-2.0,53.0,1449.0,1436.0,0.0,2,1,0.0,6.666666666666668,1,2,0.3333333333333333,6.0
103,Mon,1994-08-15,WWQ,Canada,Mexico,6,0,5.0,2006.0,2006.0,0.0,26.0,1700.0,1698.0,1.0,6,0,2.333333333333333,0.3333333333333333,0,6,3.0,4.333333333333333
104,Wed,1994-08-17,WWQ,United States,Trinidad and T…,11,1,1.0,2101.0,2123.0,0.0,60.0,1414.0,1414.0,-2.0,11,1,6.333333333333332,0.0,1,11,0.6666666666666666,5.666666666666668
105,Wed,1994-08-17,WWQ,Jamaica,Mexico,1,3,53.0,1449.0,1436.0,0.0,26.0,1700.0,1698.0,1.0,1,3,0.6666666666666666,3.6666666666666665,3,1,2.6666666666666665,5.333333333333333
106,Wed,1994-08-17,WWQ,Mexico,Jamaica,3,1,26.0,1700.0,1698.0,1.0,53.0,1449.0,1436.0,0.0,3,1,2.6666666666666665,5.333333333333333,1,3,0.6666666666666666,3.6666666666666665
107,Wed,1994-08-17,WWQ,Trinidad and T…,United States,1,11,60.0,1414.0,1414.0,-2.0,1.0,2101.0,2123.0,0.0,1,11,0.6666666666666666,5.666666666666668,11,1,6.333333333333332,0.0
108,Fri,1994-08-19,WWQ,Canada,Trinidad and T…,5,0,5.0,2006.0,2006.0,0.0,60.0,1414.0,1414.0,-2.0,5,0,4.333333333333333,0.3333333333333333,0,5,1.0,6.333333333333332
109,Fri,1994-08-19,WWQ,United States,Jamaica,10,0,1.0,2101.0,2123.0,0.0,53.0,1449.0,1436.0,0.0,10,0,7.0,0.3333333333333333,0,10,0.6666666666666666,4.0
110,Fri,1994-08-19,WWQ,Trinidad and T…,Canada,0,5,60.0,1414.0,1414.0,-2.0,5.0,2006.0,2006.0,0.0,0,5,1.0,6.333333333333332,5,0,4.333333333333333,0.3333333333333333
111,Fri,1994-08-19,WWQ,Jamaica,United States,0,10,53.0,1449.0,1436.0,0.0,1.0,2101.0,2123.0,0.0,0,10,0.6666666666666666,4.0,10,0,7.0,0.3333333333333333
112,Sun,1994-08-21,WWQ,Trinidad and T…,Mexico,3,3,60.0,1414.0,1414.0,-2.0,26.0,1700.0,1698.0,1.0,3,3,1.0,5.666666666666668,3,3,1.0,5.333333333333333
113,Sun,1994-08-21,WWQ,United States,Canada,6,0,1.0,2101.0,2123.0,0.0,5.0,2006.0,2006.0,0.0,6,0,10.0,0.3333333333333333,0,6,6.0,0.0
114,Sun,1994-08-21,WWQ,Canada,United States,0,6,5.0,2006.0,2006.0,0.0,1.0,2101.0,2123.0,0.0,0,6,6.0,0.0,6,0,10.0,0.3333333333333333
115,Sun,1994-08-21,WWQ,Mexico,Trinidad and T…,3,3,26.0,1700.0,1698.0,1.0,60.0,1414.0,1414.0,-2.0,3,3,1.0,5.333333333333333,3,3,1.0,5.666666666666668
116,Mon,1995-05-06,WWC,Japan,Germany,0,1,7.0,1991.0,1984.0,1.0,2.0,2072.0,2057.0,0.0,0,1,0.0,4.0,1,0,1.3333333333333333,3.333333333333333
117,Mon,1995-05-06,WWC,Sweden,Brazil,0,1,9.0,1962.0,1976.0,0.0,10.0,1944.0,1964.0,0.0,0,1,2.0,1.3333333333333333,1,0,0.3333333333333333,2.333333333333333
118,Mon,1995-05-06,WWC,Brazil,Sweden,1,0,10.0,1944.0,1964.0,0.0,9.0,1962.0,1976.0,0.0,1,0,0.3333333333333333,2.333333333333333,0,1,2.0,1.3333333333333333
119,Mon,1995-05-06,WWC,Germany,Japan,1,0,2.0,2072.0,2057.0,0.0,7.0,1991.0,1984.0,1.0,1,0,1.3333333333333333,3.333333333333333,0,1,0.0,4.0
120,Tue,1995-06-06,WWC,Nigeria,Norway,0,8,38.0,1599.0,1586.0,1.0,12.0,1915.0,1902.0,1.0,0,8,0.0,2.333333333333333,8,0,2.6666666666666665,1.6666666666666667
121,Tue,1995-06-06,WWC,Canada,England,2,3,5.0,2006.0,2006.0,0.0,3.0,2049.0,2021.0,1.0,2,3,3.6666666666666665,2.0,3,2,0.0,0.0
122,Tue,1995-06-06,WWC,Norway,Nigeria,8,0,12.0,1915.0,1902.0,1.0,38.0,1599.0,1586.0,1.0,8,0,2.6666666666666665,1.6666666666666667,0,8,0.0,2.333333333333333
123,Tue,1995-06-06,WWC,Denmark,Australia,5,0,17.0,1840.0,1842.0,0.0,6.0,2003.0,1999.0,0.0,5,0,1.3333333333333333,2.0,0,5,0.0,0.0
124,Tue,1995-06-06,WWC,Australia,Denmark,0,5,6.0,2003.0,1999.0,0.0,17.0,1840.0,1842.0,0.0,0,5,0.0,0.0,5,0,1.3333333333333333,2.0
125,Tue,1995-06-06,WWC,China PR,United States,3,3,16.0,1866.0,1871.0,-1.0,1.0,2101.0,2123.0,0.0,3,3,2.0,1.3333333333333333,3,3,9.0,0.3333333333333333
126,Tue,1995-06-06,WWC,United States,China PR,3,3,1.0,2101.0,2123.0,0.0,16.0,1866.0,1871.0,-1.0,3,3,9.0,0.3333333333333333,3,3,2.0,1.3333333333333333
127,Tue,1995-06-06,WWC,England,Canada,3,2,3.0,2049.0,2021.0,1.0,5.0,2006.0,2006.0,0.0,3,2,0.0,0.0,2,3,3.6666666666666665,2.0
128,Tue,1995-06-13,WWC,United States,Japan,4,0,1.0,2101.0,2123.0,0.0,7.0,1991.0,1984.0,1.0,4,0,6.333333333333332,1.0,0,4,0.0,4.0
129,Tue,1995-06-13,WWC,Sweden,China PR,1,1,9.0,1962.0,1976.0,0.0,16.0,1866.0,1871.0,-1.0,1,1,1.6666666666666667,1.6666666666666667,1,1,2.333333333333333,1.6666666666666667
130,Tue,1995-06-13,WWC,Denmark,Norway,1,3,17.0,1840.0,1842.0,0.0,12.0,1915.0,1902.0,1.0,1,3,2.333333333333333,1.3333333333333333,3,1,4.333333333333333,1.0
131,Tue,1995-06-13,WWC,China PR,Sweden,1,1,16.0,1866.0,1871.0,-1.0,9.0,1962.0,1976.0,0.0,1,1,2.333333333333333,1.6666666666666667,1,1,1.6666666666666667,1.6666666666666667
132,Tue,1995-06-13,WWC,Germany,England,3,0,2.0,2072.0,2057.0,0.0,3.0,2049.0,2021.0,1.0,3,0,1.0,3.0,0,3,0.0,0.0
133,Tue,1995-06-13,WWC,Japan,United States,0,4,7.0,1991.0,1984.0,1.0,1.0,2101.0,2123.0,0.0,0,4,0.0,4.0,4,0,6.333333333333332,1.0
134,Tue,1995-06-13,WWC,England,Germany,0,3,3.0,2049.0,2021.0,1.0,2.0,2072.0,2057.0,0.0,0,3,0.0,0.0,3,0,1.0,3.0
135,Tue,1995-06-13,WWC,Norway,Denmark,3,1,12.0,1915.0,1902.0,1.0,17.0,1840.0,1842.0,0.0,3,1,4.333333333333333,1.0,1,3,2.333333333333333,1.3333333333333333
136,Thu,1995-06-15,WWC,China PR,Germany,0,1,16.0,1866.0,1871.0,-1.0,2.0,2072.0,2057.0,0.0,0,1,1.3333333333333333,1.6666666666666667,1,0,1.3333333333333333,1.3333333333333333
137,Thu,1995-06-15,WWC,Germany,China PR,1,0,2.0,2072.0,2057.0,0.0,16.0,1866.0,1871.0,-1.0,1,0,1.3333333333333333,1.3333333333333333,0,1,1.3333333333333333,1.6666666666666667
138,Thu,1995-06-15,WWC,Norway,United States,1,0,12.0,1915.0,1902.0,1.0,1.0,2101.0,2123.0,0.0,1,0,4.0,1.0,0,1,4.333333333333333,1.0
139,Thu,1995-06-15,WWC,United States,Norway,0,1,1.0,2101.0,2123.0,0.0,12.0,1915.0,1902.0,1.0,0,1,4.333333333333333,1.0,1,0,4.0,1.0
